ID_obra,URL_img,Motivo
HF00825/090,https://content3.cdnprado.net/imagenes/Documentos/imgsem/01/0194/0194f909-4abd-4b53-abef-110d9759e709/5c5147e0-3dff-4719-ba78-5fc38d5d8bad_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/090.jpg.part'
HF00825/091,https://content3.cdnprado.net/imagenes/Documentos/imgsem/90/90bf/90bf589f-683c-4f92-abde-cef8a0966f6e/5bea54fc-4097-44d5-bef9-9befdc06fff4_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/091.jpg.part'
HF00825/092,https://content3.cdnprado.net/imagenes/Documentos/imgsem/7e/7e00/7e0032f4-46e6-41f8-bd57-6a301bdfa084/5d489993-d138-4e44-9020-123f4115881b_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/092.jpg.part'
HF00825/093,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b2/b264/b2641218-669c-44e0-8617-9b7e7f6f5093/8811cadf-24f5-46d9-b61f-04b93163ba76_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/093.jpg.part'
HF00825/094,https://content3.cdnprado.net/imagenes/Documentos/imgsem/d7/d7a7/d7a7e355-cd23-43ba-9eb1-49c3ad5a6084/3bff20fe-1e74-410c-bb8d-621dcaefb4c6_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/094.jpg.part'
HF00825/095,https://content3.cdnprado.net/imagenes/Documentos/imgsem/43/434c/434c8f7a-9134-4c77-ac5f-c259053dbead/e78e81f4-7cf7-43a5-a854-fd304c4fd560_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/095.jpg.part'
HF00825/096,https://content3.cdnprado.net/imagenes/Documentos/imgsem/88/88c5/88c51951-12dd-488b-9d1d-09f9d4b14196/51e46a17-6be5-4f19-893b-4316883abc44_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/096.jpg.part'
HF00825/097,https://content3.cdnprado.net/imagenes/Documentos/imgsem/92/92af/92af0bcf-8ee9-432f-8ff5-81a7f28c8526/2fa9c173-23cb-461f-8736-35a26f191561_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/097.jpg.part'
HF00825/098,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6a/6a2c/6a2c3d4e-9bfd-45d7-bfb3-7a7784c1cf9f/bdb54f85-a7e2-4d7a-b76c-fe7f92473c1d_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/098.jpg.part'
HF00825/099,https://content3.cdnprado.net/imagenes/Documentos/imgsem/bb/bba6/bba6aaee-3202-47a3-b731-893287954755/fa6d21a1-4b10-4c4a-8b9c-246a7577dd93_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/099.jpg.part'
HF00825/100,https://content3.cdnprado.net/imagenes/Documentos/imgsem/0a/0ab1/0ab13c16-48ac-4e08-ad90-f530c4418c88/3a8ba746-67b5-4136-ab19-7badf96eaba3_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/100.jpg.part'
