ID_obra,URL_obra,URL_img
HF00056,https://www.museodelprado.es/coleccion/obra-de-arte/el-juicio-de-paris/b1064d5d-a1b3-44df-9e01-fc2fd7ed0761,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b1/b106/b1064d5d-a1b3-44df-9e01-fc2fd7ed0761/1150d94e-9f78-40ca-a188-980fd39db16b_832.jpg
HF00057,https://www.museodelprado.es/coleccion/obra-de-arte/los-pastores/5e943fda-d5f0-4cef-8331-d25804f20290,https://content3.cdnprado.net/imagenes/Documentos/imgsem/5e/5e94/5e943fda-d5f0-4cef-8331-d25804f20290/142d8265-7e18-40d7-943a-07ca7c2fb87b_832.jpg
HF00058,https://www.museodelprado.es/coleccion/obra-de-arte/jupiter-y-los-coribantes/8de121ac-7ea8-4ee2-b4f4-3db1c59488dd,https://content3.cdnprado.net/imagenes/Documentos/imgsem/8d/8de1/8de121ac-7ea8-4ee2-b4f4-3db1c59488dd/bdcfce6a-0c8f-4b44-b1ff-c919797bee54_832.jpg
HF00059,https://www.museodelprado.es/coleccion/obra-de-arte/el-asalto/68514976-d212-45fc-b9c2-8a5a0f564473,https://content3.cdnprado.net/imagenes/Documentos/imgsem/68/6851/68514976-d212-45fc-b9c2-8a5a0f564473/d13c6ccd-629e-47f1-a18a-2d9505e0b4a5_832.jpg
HF00060,https://www.museodelprado.es/coleccion/obra-de-arte/orfeo-y-las-menades/95476520-d16c-4792-b5b5-330b4d5a0285,https://content3.cdnprado.net/imagenes/Documentos/imgsem/95/9547/95476520-d16c-4792-b5b5-330b4d5a0285/8dbf1632-bc81-413c-b010-a49e388c82b6_832.jpg
HF00061,https://www.museodelprado.es/coleccion/obra-de-arte/salome/a3bdd4a9-7075-41eb-bd43-429482223b61,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a3/a3bd/a3bdd4a9-7075-41eb-bd43-429482223b61/fb678fbe-2509-48ba-b3e4-e442b5a04f62_832.jpg
HF00062,https://www.museodelprado.es/coleccion/obra-de-arte/marsias/8a5aa538-dc49-49cf-b042-0d3ae39f2925,https://content3.cdnprado.net/imagenes/Documentos/imgsem/8a/8a5a/8a5aa538-dc49-49cf-b042-0d3ae39f2925/372b817b-b093-42c5-94dd-904c601f4b5a_832.jpg
HF00063,https://www.museodelprado.es/coleccion/obra-de-arte/orfeo-y-euridice/be16fdf4-ad35-4a5c-8c69-fd3cfd4dcb2b,https://content3.cdnprado.net/imagenes/Documentos/imgsem/be/be16/be16fdf4-ad35-4a5c-8c69-fd3cfd4dcb2b/1e7b36ee-b717-4e63-8ec7-98429409e416_832.jpg
HF00064,https://www.museodelprado.es/coleccion/obra-de-arte/saul-y-david/1e783146-9541-4c33-a655-6c980f7debca,https://content3.cdnprado.net/imagenes/Documentos/imgsem/1e/1e78/1e783146-9541-4c33-a655-6c980f7debca/b12bbd84-880f-4786-8752-952af582ab93_832.jpg
HF00065,https://www.museodelprado.es/coleccion/obra-de-arte/los-poetas-civilizadores/3f8fec81-bcfe-407c-9b01-9444d5c700be,https://content3.cdnprado.net/imagenes/Documentos/imgsem/3f/3f8f/3f8fec81-bcfe-407c-9b01-9444d5c700be/0cb7213c-7e79-41be-a96a-894413054f64_832.jpg
